"27 Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax","Mineral Fuels, Oil and Refined Products",,
"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts",Industrial Equipment and Computers,,
29 Organic Chemicals,Organic Chemicals,,
"87 Vehicles, Except Railway Or Tramway, And Parts Etc",Motor Vehicles and Parts,,
39 Plastics And Articles Thereof,Plastics and Plastic Products,,
85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"Electrical Machinery, Equipment and Parts",,
73 Articles Of Iron Or Steel,Articles of Iron or Steel,,
38 Miscellaneous Chemical Products,Miscellaneous Chemical Products,,
"22 Beverages, Spirits And Vinegar","Beverages, Spirits and Vinegar",,
72 Iron And Steel,Iron and Steel,,
"90 Optic, Photo Etc, Medic Or Surgical Instrments Etc","Optic, Photographic, Measuring, Medical Instruments",,
10 Cereals,Cereals,,
"88 Aircraft, Spacecraft, And Parts Thereof","Aircraft, Spacecraft and Parts",,
28 Inorg Chem; Prec & Rare-earth Met & Radioact Compd,"Inorganic Chemicals, Rare Earths, Precious Metals",,
40 Rubber And Articles Thereof,Rubber and Rubber Products,,
94 Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd,"Furniture, Bedding, Lamps",,
"98 Special Classification Provisions, Nesoi","Miscellaneous Industrial Components, Equipment and Parts",,
30 Pharmaceutical Products,Pharmaceutical Products,,
76 Aluminum And Articles Thereof,Aluminium and Aluminum Products,,
"95 Toys, Games & Sport Equipment; Parts & Accessories","Toys, Games and Sports Equipment",,
"52 Cotton, Including Yarn And Woven Fabric Thereof",Cotton Woven Fabrics,,
"33 Essential Oils Etc; Perfumery, Cosmetic Etc Preps","Essential Oils, Perfumery, Cosmetic Products",,
44 Wood And Articles Of Wood; Wood Charcoal,Wood and Wood Products,,
"34 Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","Soaps, Waxes, Polishes, Candles, Dental Preps",,
63 Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"Linens, Needlecraft Sets, Worn Clothing",,
"26 Ores, Slag And Ash","Ores, Slag, and Ash",,
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Edible Fruit and Nuts,,
"68 Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.","Products of Stone, Plaster, Cement, Asbestos, Mica",,
