01,      LIVE ANIMALS
02,      MEAT AND EDIBLE MEAT OFFAL
03,"      FISH, CRUSTACEANS & AQUATIC INVERTEBRATES"
04,      DAIRY PRODS; BIRDS EGGS; HONEY; ED ANIMAL PR NESOI
05,"      PRODUCTS OF ANIMAL ORIGIN, NESOI"
06,"      LIVE TREES, PLANTS, BULBS ETC.; CUT FLOWERS ETC."
07,      EDIBLE VEGETABLES & CERTAIN ROOTS & TUBERS
08,      EDIBLE FRUIT & NUTS; CITRUS FRUIT OR MELON PEEL
09,"      COFFEE, TEA, MATE & SPICES"
10,      CEREALS
11,      MILLING PRODUCTS; MALT; STARCH; INULIN; WHT GLUTEN
12,"      OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLANT ETC"
13,"      LAC; GUMS, RESINS & OTHER VEGETABLE SAP & EXTRACT"
14,      VEGETABLE PLAITING MATERIALS & PRODUCTS NESOI
15,"      ANIMAL OR VEGETABLE FATS, OILS ETC. & WAXES"
16,"      EDIBLE PREPARATIONS OF MEAT, FISH, CRUSTACEANS ETC"
17,      SUGARS AND SUGAR CONFECTIONARY
18,      COCOA AND COCOA PREPARATIONS
19,"      PREP CEREAL, FLOUR, STARCH OR MILK; BAKERS WARES"
20,"      PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS"
21,      MISCELLANEOUS EDIBLE PREPARATIONS
22,"      BEVERAGES, SPIRITS AND VINEGAR"
23,      FOOD INDUSTRY RESIDUES & WASTE; PREP ANIMAL FEED
24,      TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES
25,      SALT; SULFUR; EARTH & STONE; LIME & CEMENT PLASTER
26,"      ORES, SLAG AND ASH"
27,"      MINERAL FUEL, OIL ETC.; BITUMIN SUBST; MINERAL WAX"
28,      INORG CHEM; PREC & RARE-EARTH MET & RADIOACT COMPD
29,      ORGANIC CHEMICALS
30,      PHARMACEUTICAL PRODUCTS
31,      FERTILIZERS
32,"      TANNING & DYE EXT ETC; DYE, PAINT, PUTTY ETC; INKS"
33,"      ESSENTIAL OILS ETC; PERFUMERY, COSMETIC ETC PREPS"
34,"      SOAP ETC; WAXES, POLISH ETC; CANDLES; DENTAL PREPS"
35,      ALBUMINOIDAL SUBST; MODIFIED STARCH; GLUE; ENZYMES
36,      EXPLOSIVES; PYROTECHNICS; MATCHES; PYRO ALLOYS ETC
37,      PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
38,      MISCELLANEOUS CHEMICAL PRODUCTS
39,      PLASTICS AND ARTICLES THEREOF
40,      RUBBER AND ARTICLES THEREOF
41,      RAW HIDES AND SKINS (NO FURSKINS) AND LEATHER
42,      LEATHER ART; SADDLERY ETC; HANDBAGS ETC; GUT ART
43,      FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF
44,      WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL
